risk_id,risk_type,risk_level,related_object,description,suggestion,status,created_at
RINV00001,库存不足,Critical,P042,鸭鸭羽绒服2020年新款女中长款过膝DSL06B0030 在 杭州电商仓 当前库存 19，低于安全库存 290。,优先补货 鸭鸭羽绒服2020年新款女中长款过膝DSL06B0030，建议补货量不少于 407 件。,open,2026-06-15 09:00:00
RINV00002,库存不足,Critical,P038,胖虎子安 路易威登 99新 公价10200 992011270054 在 深圳跨境仓 当前库存 35，低于安全库存 290。,优先补货 胖虎子安 路易威登 99新 公价10200 992011270054，建议补货量不少于 383 件。,open,2026-05-27 09:00:00
RINV00003,库存不足,Critical,P031,HG DZ D21372 鲸波足金吊坠 在 深圳跨境仓 当前库存 49，低于安全库存 295。,优先补货 HG DZ D21372 鲸波足金吊坠，建议补货量不少于 369 件。,open,2026-05-11 09:00:00
RINV00004,库存不足,Critical,P043,第七代雅诗兰黛小棕瓶精华100ml 在 广州中心仓 当前库存 23，低于安全库存 260。,优先补货 第七代雅诗兰黛小棕瓶精华100ml，建议补货量不少于 356 件。,open,2026-04-12 09:00:00
RINV00005,库存不足,Critical,P017,蒂佳婷面膜 在 上海前置仓 当前库存 23，低于安全库存 257。,优先补货 蒂佳婷面膜，建议补货量不少于 351 件。,open,2026-05-24 09:00:00
RINV00006,库存不足,Critical,P030,蒂佳婷面膜 在 成都区域仓 当前库存 70，低于安全库存 290。,优先补货 蒂佳婷面膜，建议补货量不少于 330 件。,open,2026-06-24 09:00:00
RINV00007,库存不足,Critical,P040,贵州茅台 飞天茅台白酒 酱香型 500ml 在 武汉中转仓 当前库存 69，低于安全库存 289。,优先补货 贵州茅台 飞天茅台白酒 酱香型 500ml，建议补货量不少于 330 件。,open,2026-04-20 09:00:00
RINV00008,库存不足,Critical,P026,JMsolution活性睡眠面霜系列 在 杭州电商仓 当前库存 18，低于安全库存 237。,优先补货 JMsolution活性睡眠面霜系列，建议补货量不少于 329 件。,open,2026-05-27 09:00:00
RINV00009,库存不足,Critical,P017,蒂佳婷面膜 在 上海前置仓 当前库存 69，低于安全库存 282。,优先补货 蒂佳婷面膜，建议补货量不少于 320 件。,open,2026-06-21 09:00:00
RINV00010,库存不足,Critical,P044,雪中飞亮面羽绒服 X91247009F 在 北京分仓 当前库存 48，低于安全库存 257。,优先补货 雪中飞亮面羽绒服 X91247009F，建议补货量不少于 314 件。,open,2026-04-19 09:00:00
RINV00011,库存不足,Critical,P014,中国黄金 投资金条 50克 在 杭州电商仓 当前库存 23，低于安全库存 230。,优先补货 中国黄金 投资金条 50克，建议补货量不少于 311 件。,open,2026-05-09 09:00:00
